"Sgnyea","Prvcnm_id","Prvcnm_en","Gdp0101"
"1969","110000","Beijing (city)","50.6300"
"1969","640000","Ningxia Hui Autonomous Region","5.8600"
"1969","230000","Heilongjiang (province)","100.9700"
"1969","450000","Guangxi Zhuang Autonomous Region","35.2200"
"1969","620000","Gansu (province)","27.2800"
"1969","410000","Henan (province)","80.8800"
"1969","220000","Jilin (province)","45.1800"
"1969","320000","Jiangsu (province)","111.7500"
"1969","150000","Inner Mongolia Autonomous Region","32.9000"
"1969","120000","Tianjin (city)","42.8700"
"1969","130000","Hebei (province)","92.1600"
"1969","430000","Hunan (province)","81.2600"
"1969","350000","Fujian (province)","31.1200"
"1969","340000","Anhui (province)","58.0900"
"1969","520000","Guizhou (province)","21.1200"
"1970","142","China","2279.7000"
"1970","150000","Inner Mongolia Autonomous Region","39.1700"
"1970","130000","Hebei (province)","104.2500"
"1970","320000","Jiangsu (province)","129.2300"
"1970","450000","Guangxi Zhuang Autonomous Region","39.3600"
"1970","340000","Anhui (province)","71.7900"
"1970","410000","Henan (province)","97.1900"
"1970","520000","Guizhou (province)","28.3600"
"1970","510000","Sichuan (province)","102.3200"
"1970","530000","Yunnan (province)","38.5200"
"1970","110000","Beijing (city)","63.3700"
"1970","630000","Qinghai (province)","8.4500"
"1970","120000","Tianjin (city)","50.9900"
"1970","210000","Liaoning (province)","136.8200"
"1970","440000","Guangdong (province)","112.0700"
"1970","140000","Shanxi (province)","57.7000"
"1970","640000","Ningxia Hui Autonomous Region","6.5200"
"1970","350000","Fujian (province)","34.7000"
"1970","370000","Shandong (province)","126.3100"
"1970","430000","Hunan (province)","93.0500"
"1970","220000","Jilin (province)","56.0700"
"1970","610000","Shaanxi (province)","46.8400"
"1970","650000","Xinjiang Uygur Autonomous Region","23.0800"
"1970","620000","Gansu (province)","34.5000"
"1970","360000","Jiangxi (province)","58.3700"
"1970","230000","Heilongjiang (province)","111.2100"
"1970","330000","Zhejiang (province)","69.1700"
"1970","310000","Shanghai (city)","156.6700"
"1970","420000","Hubei (province)","88.1500"
"1971","142","China","2456.9000"
"1971","610000","Shaanxi (province)","57.6600"
"1971","150000","Inner Mongolia Autonomous Region","41.6100"
"1971","650000","Xinjiang Uygur Autonomous Region","26.1400"
"1971","510000","Sichuan (province)","106.9400"
"1971","320000","Jiangsu (province)","148.0400"
"1971","330000","Zhejiang (province)","70.4300"
"1971","430000","Hunan (province)","99.1000"
"1971","420000","Hubei (province)","100.1200"
"1971","230000","Heilongjiang (province)","115.5900"
"1971","350000","Fujian (province)","41.0300"
"1971","110000","Beijing (city)","61.1400"
"1971","630000","Qinghai (province)","9.3200"
"1971","310000","Shanghai (city)","164.8600"
"1971","440000","Guangdong (province)","113.2300"
"1971","450000","Guangxi Zhuang Autonomous Region","45.7500"
"1971","520000","Guizhou (province)","32.2900"
"1971","530000","Yunnan (province)","43.4700"
"1971","640000","Ningxia Hui Autonomous Region","8.1200"
"1971","410000","Henan (province)","104.8000"
"1971","220000","Jilin (province)","60.9000"
"1971","340000","Anhui (province)","79.9900"
"1971","360000","Jiangxi (province)","62.2400"
"1971","140000","Shanxi (province)","62.0000"
"1971","210000","Liaoning (province)","148.6000"
"1971","120000","Tianjin (city)","55.1200"
"1971","620000","Gansu (province)","37.8700"
"1971","370000","Shandong (province)","139.6900"
"1971","130000","Hebei (province)","107.6000"
"1972","142","China","2552.4000"
"1972","430000","Hunan (province)","107.0100"
"1972","630000","Qinghai (province)","10.3400"
"1972","220000","Jilin (province)","56.0200"
"1972","140000","Shanxi (province)","61.6000"
"1972","130000","Hebei (province)","103.0000"
"1972","230000","Heilongjiang (province)","115.7000"
"1972","510000","Sichuan (province)","108.1700"
"1972","640000","Ningxia Hui Autonomous Region","8.8300"
"1972","150000","Inner Mongolia Autonomous Region","39.3600"
"1972","120000","Tianjin (city)","56.3700"
"1972","370000","Shandong (province)","146.5200"
"1972","360000","Jiangxi (province)","66.6100"
"1972","110000","Beijing (city)","67.1900"
"1972","410000","Henan (province)","111.4100"
"1972","350000","Fujian (province)","44.5000"
"1972","210000","Liaoning (province)","153.9600"
"1972","310000","Shanghai (city)","170.9800"
"1972","530000","Yunnan (province)","49.5000"
"1972","420000","Hubei (province)","102.8400"
"1972","650000","Xinjiang Uygur Autonomous Region","24.3900"
"1972","340000","Anhui (province)","85.8800"
"1972","520000","Guizhou (province)","29.6200"
"1972","330000","Zhejiang (province)","84.3900"
"1972","450000","Guangxi Zhuang Autonomous Region","53.4700"
"1972","610000","Shaanxi (province)","57.7600"
"1972","440000","Guangdong (province)","118.4700"
"1972","320000","Jiangsu (province)","157.3100"
"1972","620000","Gansu (province)","41.1700"
"1973","142","China","2756.2000"
