"Staper","Fresgn","Datasgn","Nationsgn","Nationnm_en","Eftm0201","Eftm0202"
"2001-04","M","A","110","China, Hong Kong","844100","3883600"
"2001-04","M","A","116","Japan","3984020","4052750"
"2001-04","M","A","502","United States of America","2301060","4453890"
"2001-04","M","A","244","South Africa","124230","85160"
"2001-04","M","B","244","South Africa","396580","301520"
"2001-04","M","B","500","Northern America","9177530","17077870"
"2001-04","M","A","500","Northern America","2707490","4765060"
"2001-05","M","A","200","Africa","354580","521620"
"2001-05","M","B","200","Africa","1996110","2349080"
"2001-05","M","A","600","Oceania","480020","280960"
"2001-05","M","B","600","Oceania","2397710","1503940"
"2001-05","M","A","202","Angola","48060","2490"
"2001-05","M","B","202","Angola","207990","13900"
"2001-05","M","A","402","Argentina","31860","49470"
"2001-05","M","B","402","Argentina","118260","224610"
"2001-05","M","A","601","Australia","406360","245890"
"2001-05","M","B","601","Australia","2060640","1311870"
"2001-05","M","A","315","Austria","49830","26570"
"2001-05","M","B","315","Austria","268840","159600"
"2001-05","M","A","301","Belgium","134520","218310"
"2001-05","M","B","301","Belgium","687960","1031130"
"2001-05","M","A","410","Brazil","189660","110220"
"2001-05","M","B","410","Brazil","630040","512670"
"2001-05","M","A","501","Canada","347080","262310"
"2001-05","M","B","501","Canada","1522800","1313840"
"2001-05","M","A","100","Asia","11421720","10961150"
"2001-05","M","B","100","Asia","58533420","54367960"
"2001-05","M","A","300","Europe","3668520","3736060"
"2001-05","M","B","300","Europe","18856480","19681870"
"2001-05","M","A","412","Chile","105600","59380"
"2001-05","M","B","412","Chile","418510","301530"
"2001-05","M","A","143","China,Taiwan","2124540","439910"
"2001-05","M","B","143","China,Taiwan","10365750","1954920"
"2001-05","M","A","302","Denmark","46460","64240"
"2001-05","M","B","302","Denmark","252890","304840"
"2001-05","M","A","318","Finland","150270","58780"
"2001-05","M","B","318","Finland","1068420","330850"
"2001-05","M","A","305","France","320240","315380"
"2001-05","M","B","305","France","1613650","1557440"
"2001-05","M","B","246","Sudan","402550","89270"
"2001-05","M","B","432","Panama","740","424500"
"2001-05","M","B","137","Turkey","70110","319070"
"2001-05","M","B","327","Poland","59000","409960"
"2001-05","M","B","141","Viet Nam","465390","671880"
"2001-05","M","B","429","Mexico","295260","620850"
"2001-05","M","B","131","Saudi Arabia","1020270","474320"
"2001-05","M","B","113","Iran (Islamic Republic of)","1017080","357400"
"2001-05","M","B","138","United Arab Emirates","206750","901630"
"2001-05","M","B","115","Israel","183210","347040"
"2001-05","M","B","321","Hungary","61180","428580"
"2001-05","M","B","344","Russian Federation","2919500","870480"
"2001-05","M","B","111","India","759840","719710"
"2001-05","M","B","127","Pakistan","243780","263170"
"2001-05","M","B","129","Philippines","783510","583330"
"2001-05","M","B","236","Nigeria","111590","324860"
"2001-05","M","B","311","Portugal","19890","107540"
"2001-05","M","B","307","Italy","1471720","1752770"
"2001-05","M","B","121","China, Macao","47010","259710"
"2001-05","M","B","304","Germany","5231770","3753980"
