CRE_Cmect,,,,,,,
年度标识,AreaID,县域名称,隶属城市,隶属省份,土地面积,年末总人口,地区生产总值
2000,20407414,临夏县,临夏回族自治州,甘肃省,,,43400.00
2000,20407415,康乐县,临夏回族自治州,甘肃省,,,25254.00
2000,20407416,永靖县,临夏回族自治州,甘肃省,,,27739.00
2000,20407491,广河县,临夏回族自治州,甘肃省,,,26179.00
2000,20407492,和政县,临夏回族自治州,甘肃省,,,21575.00
2000,20407493,东乡族自治县,临夏回族自治州,甘肃省,,,17446.00
2000,20407494,积石山保安族东乡族撒拉族自治县,临夏回族自治州,甘肃省,,,17924.00
2000,20407497,临潭县,甘南藏族自治州,甘肃省,,,19238.00
2000,20407498,卓尼县,甘南藏族自治州,甘肃省,,,13980.00
2000,20407499,舟曲县,甘南藏族自治州,甘肃省,,,16800.00
2000,20407500,迭部县,甘南藏族自治州,甘肃省,,,9528.00
2000,20407501,玛曲县,甘南藏族自治州,甘肃省,,,23751.00
2000,20407502,碌曲县,甘南藏族自治州,甘肃省,,,9050.00
2000,20407503,夏河县,甘南藏族自治州,甘肃省,,,18803.00
2000,20407496,合作市,甘南藏族自治州,甘肃省,,,26149.00
2000,20406987,五华区,昆明市,云南省,,,96929.00
2000,20406988,盘龙区,昆明市,云南省,,,115080.00
2000,20406989,官渡区,昆明市,云南省,,,784136.00
2000,20406990,西山区,昆明市,云南省,,,327733.00
2000,20406991,东川区,昆明市,云南省,,,63883.00
2000,20406992,呈贡区,昆明市,云南省,,,138304.00
2000,20406993,晋宁县,昆明市,云南省,,,184042.00
2000,20406994,富民县,昆明市,云南省,,,52998.00
2000,20406995,宜良县,昆明市,云南省,,,285406.00
2000,20406996,石林彝族自治县,昆明市,云南省,,,100067.00
2000,20406997,嵩明县,昆明市,云南省,,,113158.00
2000,20406998,禄劝彝族苗族自治县,昆明市,云南省,,,99908.00
2000,20407467,寻甸回族彝族自治县,昆明市,云南省,,,95007.00
2000,20407468,安宁市,昆明市,云南省,,,360831.00
2000,20407471,麒麟区,曲靖市,云南省,,,751299.00
2000,20407472,马龙县,曲靖市,云南省,,,44434.00
2000,20407473,陆良县,曲靖市,云南省,,,204209.00
2000,20407474,师宗县,曲靖市,云南省,,,101878.00
2000,20407475,罗平县,曲靖市,云南省,,,191797.00
2000,20407476,富源县,曲靖市,云南省,,,202300.00
2000,20407477,会泽县,曲靖市,云南省,,,194517.00
2000,20407478,沾益县,曲靖市,云南省,,,165806.00
2000,20407479,宣威市,曲靖市,云南省,,,294930.00
2000,20407482,红塔区,玉溪市,云南省,,,2104776.00
2000,20407483,江川县,玉溪市,云南省,,,122392.00
2000,20407484,澄江县,玉溪市,云南省,,,72801.00
2000,20407485,通海县,玉溪市,云南省,,,158395.00
2000,20407486,华宁县,玉溪市,云南省,,,85043.00
2000,20407487,易门县,玉溪市,云南省,,,94196.00
2000,20407488,峨山彝族自治县,玉溪市,云南省,,,75086.00
2000,20407489,新平彝族傣族自治县,玉溪市,云南省,,,69567.00
2000,20407490,元江哈尼族彝族傣族自治县,玉溪市,云南省,,,76900.00
2000,20407573,昭阳区,昭通市,云南省,,,403564.00
2000,20407574,鲁甸县,昭通市,云南省,,,44102.00
2000,20407575,巧家县,昭通市,云南省,,,66253.00
2000,20407576,盐津县,昭通市,云南省,,,56037.00
2000,20407577,大关县,昭通市,云南省,,,47300.00
2000,20407578,永善县,昭通市,云南省,,,57046.00
2000,20407579,绥江县,昭通市,云南省,,,17801.00
2000,20407580,镇雄县,昭通市,云南省,,,118871.00
2000,20407581,彝良县,昭通市,云南省,,,59454.00
2000,20407582,威信县,昭通市,云南省,,,43510.00
2000,20407583,水富县,昭通市,云南省,,,62125.00
2000,20406826,楚雄市,楚雄彝族自治州,云南省,,,401074.00
2000,20406827,双柏县,楚雄彝族自治州,云南省,,,34414.00
2000,20406828,牟定县,楚雄彝族自治州,云南省,,,54688.00
2000,20406829,南华县,楚雄彝族自治州,云南省,,,57436.00
2000,20406830,姚安县,楚雄彝族自治州,云南省,,,63024.00
2000,20406831,大姚县,楚雄彝族自治州,云南省,,,84200.00
2000,20406832,永仁县,楚雄彝族自治州,云南省,,,32017.00
2000,20406833,元谋县,楚雄彝族自治州,云南省,,,61443.00
2000,20406834,武定县,楚雄彝族自治州,云南省,,,64470.00
2000,20406835,禄丰县,楚雄彝族自治州,云南省,,,226597.00
2000,20406837,个旧市,红河哈尼族彝族自治州,云南省,,,256113.00
2000,20406838,开远市,红河哈尼族彝族自治州,云南省,,,204319.00
2000,20406839,蒙自市,红河哈尼族彝族自治州,云南省,,,105081.00
2000,20406840,屏边苗族自治县,红河哈尼族彝族自治州,云南省,,,29519.00
2000,20406841,建水县,红河哈尼族彝族自治州,云南省,,,151981.00
2000,20406842,石屏县,红河哈尼族彝族自治州,云南省,,,88789.00
2000,20406843,弥勒市,红河哈尼族彝族自治州,云南省,,,319072.00
2000,20406844,泸西县,红河哈尼族彝族自治州,云南省,,,90128.00
2000,20406845,元阳县,红河哈尼族彝族自治州,云南省,,,53089.00
2000,20406846,红河县,红河哈尼族彝族自治州,云南省,,,42008.00
2000,20406847,金平苗族瑶族傣族自治县,红河哈尼族彝族自治州,云南省,,,38255.00
