CRE_Gdp01(Merge Query),,,,,,,,,,,
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2017,460000,海南省,4462.54,48430,926,1037405.5,436590.6,600814.9,2442,760.8902,610.0225
2017,340000,安徽省,27018,43401.3638,6255,5402162.6,3059611.5,2342551.1,6135,866.4121,489.0363
2017,142,中国,832035.9486,59592.2511,140011,,,,,,
2016,510000,四川省,32934.54,40003,8262,4930625.2,2794761.7,2135863.4,10370,941.9264,552.8245
2016,120000,天津市,17885.39,115053,1562,10265594.7,4427869.4,5837725.3,13339,2225.9397,1484.7272
2016,450000,广西壮族自治区,18317.64,38027,4838,4762743.1,2292641.3,2470101.8,4485,437.2025,229.5495
2016,500000,重庆市,17740.59,58502,3048,6275363.7,4065437.9,2209925.8,5555,880.6512,549.0078
2016,330000,浙江省,47251.36,84916,5590,33657590.9,26786375.3,6871215.6,34442,3198.6996,1921.4008
2016,620000,甘肃省,7200.37,27643,2610,683298,406256.3,277041.8,2079,75.2885,31.9029
2016,140000,山西省,13050.41,35532,3682,1666141.1,993219,672922.2,3699,421.6327,229.4048
2016,130000,河北省,32070.45,43062,7470,4667538,3057553.8,1609984.2,7286,848.2129,426.5127
2016,370000,山东省,68024.49,68733,9947,23435585.2,13709608.8,9725976.3,28527,2518.7374,1476.196
2016,350000,福建省,28810.58,74707,3874,15682619,10367798.5,5314820.6,28351,2263.155,1321.2653
2016,410000,河南省,40471.79,42575,9532,7121309.9,4280550.9,2840759,8058,822.4876,449.0041
2016,630000,青海省,2572.49,43531,593,152920.4,137006.1,15914.3,440,75.2735,28.7375
2016,150000,内蒙古自治区,18128.1,72064,2520,1164030.1,439598.8,724431.3,3362,410.8003,196.9527
2016,610000,陕西省,19399.59,51015,3813,2994722.3,1583756.1,1410966.2,5953,560.8107,309.6965
2016,520000,贵州省,11776.73,33246,3555,569961.7,474279.2,95682.5,1511,237.193,131.2175
2016,210000,辽宁省,22246.9,50791,4378,8655689.5,4306276.5,4349413,16949,2132.7844,1318.4825
2016,360000,江西省,18499,40400,4592,4002840.7,2979839.8,1023000.9,6918,777.3812,550.6037
2016,110000,北京市,25669.13,118198,2173,28234896,5202284.3,23032611.7,30401,4273.706,2755.2182
2016,220000,吉林省,14776.8,53868,2733,1845288.6,420201.1,1425087.5,3853,356.0561,120.6003
2016,440000,广东省,80854.91,74016,10999,95529800.7,59860198.6,35669602.1,119688,7815.7078,5085.8849
