CRE_Gdpct(Merge Query)
年度标识,城市名称,城市代码,省份名称,生产总值,年末总人口,人口密度,外商新签合同数,外商协议投资金额,外商实际投资额
2022,台州市,331000,浙江省,6041.0000,604.9513,,,,24143.0000
2022,舟山市,330900,浙江省,1951.0000,95.2213,,,,46276.0000
2022,衢州市,330800,浙江省,2003.0000,255.0314,,,,10470.0000
2022,金华市,330700,浙江省,5562.0000,496.8690,,,,46830.0000
2022,绍兴市,330600,浙江省,7351.0000,445.8228,,,,101773.0000
2022,湖州市,330500,浙江省,3850.0000,268.8270,,,,157713.0000
2022,嘉兴市,330400,浙江省,6739.0000,374.8457,,,,315760.0000
2022,温州市,330300,浙江省,8030.0000,831.8223,,,,61244.0000
2022,宁波市,330200,浙江省,15704.0000,621.0691,,,,372658.0000
2022,杭州市,330100,浙江省,18753.0000,846.7474,,,,781238.0000
2022,凉山彝族自治州,513400,四川省,2081.3600,543.0000,81.0000,,,
2022,甘孜藏族自治州,513300,四川省,471.9400,109.3000,7.0000,,,
2022,阿坝藏族羌族自治州,513200,四川省,462.5100,89.5000,10.0000,,,
2022,资阳市,512000,四川省,948.1600,333.2000,395.0000,,,
2022,巴中市,511900,四川省,765.0100,359.1000,216.0000,,,
2022,雅安市,511800,四川省,902.5100,151.5000,95.0000,,,
2022,达州市,511700,四川省,2502.7200,644.5000,323.0000,,,
2022,广安市,511600,四川省,1425.0200,449.5000,511.0000,,,
2022,宜宾市,511500,四川省,3427.8400,548.4000,348.0000,,,
2022,眉山市,511400,四川省,1635.5100,338.6000,415.0000,,,
2022,南充市,511300,四川省,2685.4500,708.6000,445.0000,,,
2022,乐山市,511100,四川省,2308.8100,345.6000,248.0000,,,
2022,内江市,511000,四川省,1656.9500,399.0000,573.0000,,,
2022,遂宁市,510900,四川省,1614.4700,354.4000,521.0000,,,
2022,广元市,510800,四川省,1139.7800,293.1000,139.0000,,,
2022,绵阳市,510700,四川省,3626.9400,525.7000,242.0000,,,
2022,德阳市,510600,四川省,2816.8700,378.5000,586.0000,,,
2022,泸州市,510500,四川省,2601.5200,503.8000,348.0000,,,
2022,攀枝花市,510400,四川省,1220.5200,106.9000,164.0000,,,
2022,自贡市,510300,四川省,1638.4200,313.7000,560.0000,,,
2022,成都市,510100,四川省,20817.5000,1571.6000,1484.0000,,,
2022,驻马店市,411700,河南省,3257.3577,,,,7962.0000,2678.0000
2022,周口市,411600,河南省,3616.9928,,,,10163.0000,809.0000
2022,信阳市,411500,河南省,3196.2258,,,,13979.0000,4101.0000
2022,商丘市,411400,河南省,3262.6818,,,,7060.0000,2263.0000
2022,南阳市,411300,河南省,4555.4022,,,,66743.0000,6901.0000
2022,三门峡市,411200,河南省,1676.3718,,,,21145.0000,1059.0000
2022,漯河市,411100,河南省,1812.8877,,,,15329.0000,6027.0000
2022,许昌市,411000,河南省,3746.8294,,,,11168.0000,471.0000
2022,濮阳市,410900,河南省,1889.5325,,,,3696.0000,570.0000
2022,焦作市,410800,河南省,2234.7754,,,,30793.0000,10141.0000
2022,新乡市,410700,河南省,3463.9840,,,,27225.0000,4952.0000
2022,鹤壁市,410600,河南省,1107.0361,,,,22870.0000,1550.0000
2022,安阳市,410500,河南省,2512.1450,,,,1142.0000,5190.0000
2022,平顶山市,410400,河南省,2839.3332,,,,14308.0000,5555.0000
2022,洛阳市,410300,河南省,5675.1892,,,,25782.0000,1909.0000
2022,开封市,410200,河南省,2657.1063,,,,12116.0000,1576.0000
2022,郑州市,410100,河南省,12934.6912,,,,201515.0000,120176.0000
2022,菏泽市,371700,山东省,4205.3400,1024.1800,,,,61616.0000
2022,滨州市,371600,山东省,2975.1500,395.8800,,,,67906.0000
2022,聊城市,371500,山东省,2779.8500,644.3300,,,,47900.0000
2022,德州市,371400,山东省,3633.0700,593.6400,,,,64103.0000
2022,临沂市,371300,山东省,5778.5200,1200.2700,,,,138819.0000
2022,日照市,371100,山东省,2306.7700,308.8900,,,,70350.0000
2022,威海市,371000,山东省,3408.1800,256.0800,,,,107716.0000
2022,泰安市,370900,山东省,3198.1300,566.3700,,,,56161.0000
2022,济宁市,370800,山东省,5316.8800,891.1900,,,,129192.0000
2022,潍坊市,370700,山东省,7306.4500,920.1100,,,,129903.0000
2022,烟台市,370600,山东省,9515.8600,646.7600,,,,298323.0000
2022,东营市,370500,山东省,3620.7400,198.4100,,,,79710.0000
2022,枣庄市,370400,山东省,2039.0400,423.4700,,,,67250.0000
2022,淄博市,370300,山东省,4402.5900,432.1700,,,,103243.0000
2022,青岛市,370200,山东省,14920.7500,853.9900,,,,551492.0000
2022,济南市,370100,山东省,12027.4600,822.5300,,,,313738.0000
2022,延边朝鲜族自治州,222400,吉林省,838.8735,201.5500,,,,
2022,白城市,220800,吉林省,574.8624,183.2200,,,,
2022,松原市,220700,吉林省,872.7451,270.9500,,,,
2022,白山市,220600,吉林省,541.7591,112.1200,,,,
2022,通化市,220500,吉林省,590.8642,209.3200,,,,
2022,辽源市,220400,吉林省,501.0138,113.1400,,,,
2022,四平市,220300,吉林省,581.7068,208.5600,,,,
2022,吉林市,220200,吉林省,1517.8892,399.5700,,,,
2022,长春市,220100,吉林省,6744.5578,851.0200,,,,
2022,大兴安岭地区,232700,黑龙江省,168.0000,31.3300,,,0.0000,13.0000
2022,绥化市,231200,黑龙江省,1238.1000,362.9600,,,1435.0000,217.5400
2022,黑河市,231100,黑龙江省,660.2000,125.0700,,,6493.0000,123.2621
